id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2468,12.4,0.24,0.49,2.4,0.089,16.0,40.0,1.0001,3.26,0.66,9.2,6.0
2469,8.7,0.61,0.3,2.2,0.092,23.0,99.0,0.9966,3.39,0.62,10.0,6.0
2470,7.7,0.55,0.06,2.2,0.093,16.0,49.0,0.9972,3.44,0.54,11.0,7.0
2471,7.7,0.65,0.31,2.0,0.081,17.0,94.0,0.99728,3.12,0.59,9.5,6.0
2472,9.0,0.53,0.15,2.1,0.08,26.0,44.0,0.9988,3.27,0.62,10.2,5.0
2473,8.8,0.41,0.32,2.5,0.062,9.0,35.0,0.9982,3.16,0.81,11.4,4.0
2474,7.6,0.53,0.07,2.6,0.078,19.0,38.0,0.99746,3.49,0.72,9.4,5.0
2475,7.1,0.52,0.14,2.0,0.081,16.0,35.0,0.9964,3.26,0.44,11.6,6.0
2476,5.1,0.66,0.0,3.0,0.068,15.0,28.0,0.99418,3.54,0.6,12.8,5.0
2477,7.8,0.41,0.4,2.1,0.074,12.0,30.0,0.99688,3.27,0.78,9.4,5.0
2478,7.0,0.29,0.29,2.0,0.087,35.0,55.0,0.99604,3.26,0.6,9.3,5.0
2479,7.8,0.62,0.01,2.1,0.094,18.0,58.0,0.99685,3.55,0.55,10.8,6.0
2480,7.8,0.5,0.2,2.0,0.087,7.0,46.0,0.9982,3.45,0.64,10.9,7.0
2481,7.2,0.74,0.02,1.9,0.077,26.0,48.0,0.99734,3.38,0.72,9.5,5.0
2482,5.4,0.66,0.01,1.9,0.09,8.0,19.0,0.99682,3.27,0.67,11.9,6.0
2483,7.8,0.57,0.0,2.2,0.052,25.0,48.0,0.9984,3.44,0.6,12.0,6.0
2484,7.0,0.43,0.13,2.3,0.0819999999999999,5.0,19.0,0.99642,3.3,0.59,9.8,5.0
2485,7.4,0.36,0.29,2.0,0.095,25.0,42.0,0.9978,3.44,0.72,9.5,5.0
2486,9.0,0.37,0.42,2.3,0.08,8.0,19.0,0.9968,3.19,0.82,9.4,6.0
2487,7.6,0.42,0.2,1.7,0.069,6.0,14.0,0.9974,3.36,0.48,9.7,6.0
2488,8.3,0.7,0.0,1.8,0.075,5.0,19.0,0.99708,3.26,0.56,9.8,6.0
2489,7.9,0.52,0.02,1.8,0.076,5.0,20.0,0.9972,3.17,0.6,9.4,5.0
2490,8.3,0.36,0.24,1.9,0.052,6.0,18.0,0.99489,3.4,0.68,11.9,6.0
2491,8.9,0.37,0.44,1.9,0.074,9.0,31.0,0.9982,3.23,0.59,9.4,5.0
2492,9.4,0.38,0.21,3.6,0.079,9.0,42.0,0.9962,3.32,0.63,9.9,5.0
2493,7.1,0.28,0.31,2.4,0.084,31.0,77.0,0.9946,3.48,0.71,9.6,6.0
2494,8.9,0.32,0.21,2.4,0.0819999999999999,11.0,28.0,0.9977,3.34,0.62,10.7,7.0
2495,9.2,0.33,0.49,2.1,0.078,19.0,61.0,0.99668,3.03,0.66,10.5,5.0
2496,6.9,0.735,0.0,2.4,0.078,5.0,13.0,0.99708,3.4,0.59,11.1,6.0
2497,8.2,0.37,0.3,2.2,0.0579999999999999,12.0,20.0,0.99504,3.42,0.75,11.0,7.0
2498,7.1,0.35,0.33,1.9,0.076,9.0,42.0,0.9964,3.34,0.58,10.4,6.0
2499,7.9,0.35,0.31,1.9,0.073,6.0,14.0,0.99538,3.24,0.59,9.0,4.0
2500,8.7,0.51,0.18,2.0,0.079,9.0,30.0,0.9972,3.38,0.6,9.7,6.0
2501,6.7,0.52,0.02,2.1,0.072,11.0,27.0,0.9973,3.38,0.57,10.9,5.0
2502,8.4,0.57,0.22,1.9,0.098,6.0,14.0,0.9976,3.23,0.59,9.8,6.0
2503,6.6,0.56,0.01,1.8,0.084,11.0,46.0,0.99736,3.46,0.55,9.2,6.0
2504,8.6,0.37,0.23,2.2,0.078,23.0,54.0,0.99572,3.36,0.53,9.5,5.0
2505,7.2,0.43,0.24,3.4,0.084,20.0,46.0,0.99572,3.4,0.49,12.0,7.0
2506,7.2,0.64,0.01,1.8,0.067,7.0,13.0,0.9984,3.3,0.62,9.5,6.0
2507,11.0,0.28,0.54,2.5,0.067,6.0,32.0,0.99787,3.26,0.77,11.5,6.0
2508,9.4,0.49,0.28,1.4,0.079,5.0,15.0,0.9969,3.22,0.78,9.5,6.0
2509,8.3,0.35,0.49,1.6,0.095,4.0,12.0,0.9997,3.21,0.61,11.8,6.0
2510,6.1,0.67,0.08,2.1,0.087,23.0,44.0,0.99572,3.53,0.64,11.1,6.0
2511,8.4,0.31,0.48,2.2,0.09,23.0,54.0,0.9974,3.36,0.73,10.8,4.0
2512,7.2,0.56,0.12,2.0,0.086,6.0,20.0,0.99748,3.35,0.54,9.7,5.0
2513,7.0,0.4,0.2,1.8,0.077,11.0,86.0,0.9973,3.47,0.48,9.4,6.0
2514,8.6,0.51,0.26,2.0,0.074,5.0,12.0,0.9972,3.4,0.85,9.6,6.0
2515,7.2,0.31,0.32,2.1,0.078,12.0,33.0,0.99748,3.39,0.58,9.5,5.0
2516,9.3,0.43,0.26,1.9,0.093,5.0,9.0,0.9958,3.43,0.91,9.9,6.0
2517,8.1,0.635,0.16,2.0,0.074,12.0,24.0,0.99522,3.29,0.56,10.9,6.0
2518,7.8,0.43,0.33,2.3,0.079,13.0,31.0,0.9988,3.32,0.63,9.7,5.0
2519,8.3,0.715,0.21,1.8,0.0819999999999999,21.0,81.0,0.99668,3.31,0.64,9.2,5.0
2520,9.1,0.41,0.66,2.3,0.084,9.0,42.0,0.9971,3.1,0.49,11.2,7.0
2521,10.2,0.41,0.49,2.0,0.079,9.0,26.0,0.9976,3.36,0.64,10.0,5.0
2522,12.0,0.35,0.54,2.3,0.071,17.0,35.0,1.00242,3.27,0.74,9.8,5.0
2523,6.3,0.26,0.33,1.3,0.074,13.0,33.0,0.9962,3.27,0.65,9.8,6.0
2524,7.0,0.7,0.02,1.8,0.077,5.0,15.0,0.99746,3.43,0.63,11.9,6.0
2525,7.1,0.66,0.05,2.9,0.077,6.0,14.0,0.9983,3.21,0.56,10.0,4.0
2526,6.2,0.58,0.03,2.0,0.077,6.0,14.0,0.9968,3.36,0.54,9.7,5.0
2527,9.3,0.53,0.45,2.3,0.095,5.0,32.0,0.99444,3.26,0.71,9.8,5.0
2528,9.1,0.735,0.08,2.0,0.063,5.0,16.0,0.99459,3.36,0.57,12.8,6.0
2529,10.2,0.37,0.54,1.8,0.074,12.0,45.0,0.99388,3.17,0.71,13.0,5.0
2530,7.1,0.58,0.03,2.1,0.08,19.0,43.0,0.9961,3.17,0.62,9.6,5.0
2531,10.6,0.5,0.53,2.5,0.092,14.0,31.0,0.9987,3.15,0.73,10.6,7.0
2532,8.8,0.55,0.34,2.4,0.0819999999999999,6.0,15.0,0.99458,3.3,0.56,11.2,6.0
2533,9.1,0.78,0.53,1.5,0.086,5.0,19.0,0.9976,3.22,0.56,10.0,5.0
2534,7.6,0.52,0.03,2.6,0.072,16.0,24.0,0.99458,3.54,0.6,11.0,6.0
2535,9.4,0.56,0.09,2.4,0.084,9.0,18.0,0.9958,3.25,0.54,9.4,3.0
2536,7.8,0.61,0.0,1.9,0.08,9.0,31.0,0.9969,3.34,0.59,9.5,5.0
2537,9.4,0.34,0.36,2.6,0.069,15.0,21.0,0.99572,3.4,0.81,11.6,6.0
2538,9.5,0.18,0.49,2.0,0.07,13.0,24.0,0.99362,3.2,0.56,9.5,6.0
2539,10.9,0.47,0.49,2.1,0.083,8.0,22.0,1.00015,3.21,0.62,9.6,5.0
2540,6.6,0.35,0.12,2.1,0.096,17.0,42.0,0.99516,3.54,0.62,11.0,7.0
2541,7.8,0.59,0.03,4.0,0.071,22.0,55.0,0.9955,3.41,0.54,9.7,6.0
2542,10.1,0.31,0.47,1.8,0.076,7.0,31.0,0.99702,3.34,0.48,9.4,5.0
2543,7.8,0.31,0.34,2.1,0.08,29.0,54.0,0.9964,3.25,0.68,9.5,6.0
2544,6.8,0.54,0.22,2.8,0.078,11.0,44.0,0.99801,3.22,0.59,9.8,4.0
2545,7.5,0.49,0.26,2.4,0.104,17.0,35.0,0.9968,3.32,0.6,9.5,6.0
2546,8.3,0.5,0.21,2.1,0.076,8.0,26.0,0.9974,3.28,0.56,9.8,6.0
2547,8.2,0.26,0.49,2.3,0.0819999999999999,8.0,16.0,0.99586,3.27,0.63,10.2,5.0
2548,7.0,0.5,0.2,2.4,0.077,32.0,71.0,0.9974,3.51,0.54,10.3,6.0
2549,9.1,0.46,0.49,1.9,0.0969999999999999,14.0,31.0,0.9968,3.47,0.7,10.4,6.0
2550,7.1,0.6,0.06,2.1,0.063,7.0,31.0,0.99546,3.24,0.57,10.0,5.0
2551,7.0,0.74,0.01,2.4,0.087,12.0,29.0,0.99623,3.36,0.52,10.8,6.0
2552,8.6,0.59,0.2,2.1,0.075,23.0,69.0,0.998,3.12,0.55,10.1,6.0
2553,8.2,0.3,0.46,2.1,0.0819999999999999,10.0,21.0,0.9978,3.29,0.62,11.8,4.0
2554,8.7,0.46,0.39,2.1,0.084,5.0,14.0,0.9972,3.26,0.6,9.3,5.0
2555,5.5,0.685,0.0,1.6,0.074,11.0,45.0,0.9966,3.44,0.65,10.0,6.0
2556,6.7,0.34,0.32,2.8,0.08,17.0,42.0,0.99702,3.38,0.65,9.5,5.0
2557,12.5,0.4,0.49,2.1,0.08,7.0,21.0,0.99745,3.16,0.5,10.5,5.0
2558,7.6,0.47,0.0,1.6,0.075,29.0,53.0,0.998,3.52,0.58,9.6,5.0
2559,8.9,0.43,0.21,2.5,0.0819999999999999,20.0,119.0,0.99458,3.15,0.58,9.4,5.0
2560,7.1,0.39,0.23,2.6,0.064,5.0,19.0,0.9997,3.36,0.58,9.6,5.0
2561,7.9,0.62,0.04,2.1,0.0819999999999999,17.0,94.0,0.99528,3.56,0.64,9.4,6.0
2562,7.8,0.38,0.42,2.4,0.078,9.0,28.0,0.9947,3.15,0.57,10.6,5.0
2563,10.2,0.43,0.4,1.9,0.066,5.0,10.0,0.9976,3.44,0.67,9.7,6.0
2564,6.3,0.62,0.0,2.1,0.068,17.0,59.0,0.99258,3.36,0.59,9.2,5.0
2565,9.9,0.39,0.24,2.3,0.064,4.0,7.0,0.9956,3.16,0.79,10.9,3.0
2566,7.5,0.44,0.29,2.6,0.08,12.0,60.0,0.9962,3.45,0.6,10.0,5.0
2567,10.4,0.43,0.39,2.2,0.07,12.0,47.0,0.9996,3.17,0.56,9.5,5.0
2568,9.1,0.28,0.26,1.7,0.086,17.0,43.0,0.99652,3.15,0.62,9.2,5.0
2569,8.3,0.56,0.26,2.5,0.072,29.0,70.0,0.9962,3.14,0.57,9.5,5.0
2570,6.8,0.53,0.01,2.5,0.071,12.0,28.0,0.99744,3.43,0.66,12.0,7.0
2571,6.2,0.45,0.08,2.0,0.091,11.0,18.0,0.99572,3.44,0.53,10.4,5.0
2572,9.1,0.41,0.49,2.6,0.085,19.0,42.0,0.9962,3.3,0.87,11.9,6.0
2573,7.8,0.58,0.14,1.9,0.068,5.0,21.0,0.99448,3.36,0.57,9.9,5.0
2574,7.7,0.42,0.65,2.5,0.078,6.0,18.0,0.99562,3.34,0.66,12.1,7.0
2575,8.3,0.635,0.0,2.4,0.066,4.0,12.0,0.9967,3.28,0.72,9.6,6.0
2576,7.4,0.33,0.24,2.6,0.078,16.0,67.0,0.99744,3.3,0.56,9.4,6.0
2577,6.8,0.5,0.0,2.0,0.071,10.0,21.0,0.99656,3.45,0.64,10.6,5.0
2578,7.7,0.5,0.1,5.4,0.078,5.0,14.0,0.9986,3.33,0.64,9.4,6.0
2579,11.5,0.48,0.5,1.8,0.068,38.0,49.0,0.9971,3.33,0.66,11.0,7.0
2580,7.4,0.46,0.24,2.2,0.08,8.0,25.0,0.9996,3.25,0.75,9.6,5.0
2581,7.6,0.43,0.25,1.9,0.073,3.0,9.0,0.9979,3.39,0.71,11.8,6.0
2582,8.2,0.4,0.3,2.3,0.074,28.0,63.0,0.99557,3.32,0.48,12.2,7.0
2583,7.2,0.62,0.0,2.1,0.079,14.0,29.0,0.9972,3.32,0.61,9.7,5.0
2584,7.2,0.42,0.01,2.4,0.086,27.0,48.0,0.9984,3.56,0.52,9.4,5.0
2585,7.2,0.52,0.08,1.9,0.076,6.0,29.0,0.9968,3.39,0.58,9.4,5.0
2586,8.0,0.44,0.42,2.2,0.074,21.0,77.0,0.9988,3.17,0.6,9.4,5.0
2587,7.5,0.55,0.11,2.2,0.092,18.0,36.0,0.9994,3.36,0.64,9.5,6.0
2588,12.5,0.36,0.24,2.9,0.066,8.0,22.0,0.99374,3.4,0.69,9.5,7.0
2589,8.8,0.43,0.5,2.8,0.08,11.0,20.0,0.99672,3.3,0.56,10.9,6.0
2590,7.9,0.56,0.14,1.6,0.077,7.0,17.0,0.99572,3.32,0.62,9.6,5.0
2591,7.0,0.59,0.02,2.4,0.076,29.0,61.0,0.99444,3.39,0.51,9.5,6.0
2592,10.5,0.63,0.49,2.2,0.084,5.0,14.0,0.9978,3.31,0.59,10.0,6.0
2593,8.8,0.31,0.32,3.0,0.0969999999999999,6.0,31.0,0.9982,3.3,0.59,10.6,6.0
2594,6.3,0.55,0.0,2.4,0.071,11.0,20.0,0.99774,3.52,0.58,11.0,6.0
2595,7.5,0.53,0.08,2.1,0.095,31.0,133.0,0.9966,3.26,0.59,9.7,5.0
2596,8.7,0.545,0.2,2.1,0.073,11.0,25.0,0.9994,3.34,0.54,10.0,6.0
2597,8.4,0.31,0.24,2.2,0.0819999999999999,16.0,70.0,0.9983,3.33,0.61,10.0,6.0
2598,6.6,0.52,0.13,1.4,0.061,15.0,32.0,0.99547,3.58,0.62,10.1,7.0
2599,7.0,0.27,0.4,1.8,0.071,6.0,16.0,0.99743,3.52,0.57,9.6,5.0
2600,9.0,0.5,0.49,2.8,0.085,21.0,65.0,0.9976,3.2,0.58,9.7,6.0
2601,7.0,0.59,0.13,2.3,0.073,14.0,40.0,0.9961,3.54,0.59,9.3,5.0
2602,8.9,0.22,0.54,2.5,0.076,9.0,32.0,0.9994,3.1,0.66,9.5,5.0
2603,7.9,0.84,0.18,2.3,0.091,3.0,8.0,0.99718,3.28,0.48,9.5,6.0
2604,10.2,0.32,0.24,2.5,0.074,6.0,17.0,0.9976,3.29,0.58,9.5,5.0
2605,8.9,0.53,0.18,2.1,0.079,21.0,50.0,0.99534,3.3,0.59,12.0,5.0
2606,8.5,0.46,0.36,1.4,0.067,5.0,11.0,0.99528,3.41,0.63,10.8,6.0
2607,7.7,0.56,0.0,2.4,0.078,8.0,19.0,0.9967,3.3,0.59,9.5,6.0
2608,8.6,0.55,0.0,1.9,0.092,19.0,28.0,0.9987,3.2,0.73,10.3,6.0
2609,9.9,0.38,0.34,1.9,0.079,27.0,60.0,0.99668,3.28,0.84,9.3,7.0
2610,9.5,0.4,0.49,2.4,0.075,12.0,38.0,0.9972,3.21,0.69,11.8,7.0
2611,7.2,0.41,0.25,2.0,0.069,21.0,45.0,0.99672,3.35,0.72,10.0,6.0
2612,7.7,0.735,0.12,1.7,0.073,12.0,47.0,0.9968,3.22,0.6,9.2,5.0
2613,8.2,0.54,0.32,2.1,0.08,14.0,31.0,0.99736,3.24,0.55,9.6,7.0
2614,7.4,0.5,0.09,2.1,0.08,12.0,88.0,0.99672,3.19,0.69,9.5,4.0
2615,11.8,0.38,0.51,2.5,0.0819999999999999,10.0,18.0,0.99734,3.19,0.83,11.5,8.0
2616,7.2,0.28,0.45,1.9,0.081,12.0,89.0,0.99588,3.09,0.68,9.8,5.0
2617,7.1,0.33,0.32,1.8,0.107,6.0,13.0,0.9978,3.45,0.85,12.6,6.0
2618,9.0,0.24,0.45,2.5,0.074,7.0,16.0,0.9962,3.31,0.93,10.0,6.0
2619,7.6,0.69,0.0,1.9,0.081,18.0,28.0,0.9958,3.38,0.6,12.0,7.0
2620,7.0,0.57,0.23,2.0,0.072,22.0,51.0,0.9976,3.36,0.64,11.0,8.0
2621,7.7,0.44,0.21,1.7,0.077,5.0,11.0,0.9991,3.36,0.53,9.5,5.0
2622,8.5,0.58,0.0,2.0,0.065,8.0,17.0,0.99572,3.59,0.55,11.4,6.0
2623,11.3,0.41,0.53,1.7,0.074,22.0,35.0,0.99418,3.32,0.88,11.4,6.0
2624,11.9,0.25,0.53,2.0,0.073,6.0,19.0,0.9981,3.17,0.77,12.4,8.0
2625,7.2,0.27,0.42,1.9,0.079,5.0,14.0,0.9952,3.25,0.87,9.5,6.0
2626,7.8,0.39,0.27,2.1,0.084,27.0,43.0,0.9976,3.38,0.62,9.8,5.0
2627,7.7,0.5,0.36,2.8,0.079,6.0,15.0,0.9968,3.32,0.6,12.0,6.0
2628,10.2,0.5,0.25,2.2,0.076,17.0,33.0,0.99652,3.15,0.58,10.8,6.0
2629,7.3,0.58,0.0,2.3,0.066,7.0,13.0,0.9982,3.56,0.77,9.9,6.0
2630,7.0,0.45,0.22,2.0,0.074,6.0,28.0,0.9991,3.35,0.62,9.3,5.0
2631,6.4,0.46,0.24,2.2,0.075,19.0,61.0,0.998,3.43,0.82,10.3,6.0
2632,7.2,0.39,0.21,2.0,0.0559999999999999,17.0,70.0,0.99708,3.23,0.67,9.4,6.0
2633,7.7,0.65,0.03,2.8,0.073,18.0,42.0,0.9976,3.56,0.53,9.5,6.0
2634,10.0,0.53,0.31,1.7,0.08,16.0,47.0,0.99538,3.16,0.56,9.4,6.0
2635,7.5,0.86,0.03,1.7,0.076,23.0,49.0,0.9972,3.37,0.54,9.5,5.0
2636,8.6,0.43,0.31,2.1,0.077,6.0,12.0,0.99538,3.25,0.64,11.8,7.0
2637,10.2,0.41,0.49,1.7,0.092,24.0,42.0,0.9966,3.28,0.65,12.2,7.0
2638,9.0,0.59,0.49,2.3,0.063,42.0,90.0,0.9982,3.21,1.17,9.4,5.0
2639,7.8,0.41,0.03,2.6,0.074,6.0,23.0,0.99584,3.4,0.57,11.5,6.0
2640,6.9,0.6,0.13,2.0,0.078,15.0,28.0,0.9996,3.51,0.56,10.0,6.0
2641,8.8,0.49,0.24,1.9,0.049,15.0,67.0,0.9982,3.48,0.59,9.8,6.0
2642,10.4,0.24,0.49,1.9,0.166,14.0,67.0,0.9992,3.48,0.57,9.5,7.0
2643,7.6,0.69,0.29,1.4,0.07,16.0,44.0,0.99478,3.15,0.53,9.8,5.0
2644,7.8,0.61,0.0,2.0,0.0819999999999999,16.0,104.0,0.9976,3.16,0.68,9.9,5.0
2645,8.0,0.6,0.18,2.1,0.048,16.0,28.0,0.9994,3.15,0.7,11.7,7.0
2646,9.2,0.51,0.49,2.3,0.081,7.0,35.0,0.9988,3.28,0.64,12.0,7.0
2647,9.1,0.41,0.32,2.6,0.074,7.0,27.0,0.9956,3.12,0.59,10.9,7.0
2648,8.7,0.37,0.36,2.1,0.078,6.0,18.0,0.9982,3.32,0.61,9.5,5.0
2649,7.5,0.59,0.21,2.7,0.079,17.0,27.0,0.99748,3.29,0.83,9.5,6.0
2650,10.5,0.5,0.5,2.5,0.066,8.0,38.0,0.9973,3.3,0.54,12.0,5.0
2651,6.6,0.43,0.31,2.2,0.08,6.0,21.0,0.99478,3.36,0.73,10.0,6.0
2652,8.3,0.49,0.32,1.8,0.077,19.0,49.0,0.9987,3.56,0.6,9.2,5.0
2653,6.9,0.6,0.02,1.6,0.087,32.0,54.0,0.9982,3.68,0.59,10.5,6.0
2654,7.8,0.43,0.21,2.3,0.089,6.0,18.0,0.99702,3.39,0.6,9.5,5.0
2655,7.9,0.69,0.08,2.2,0.077,5.0,19.0,0.99458,3.33,0.56,9.5,7.0
2656,6.6,0.53,0.14,2.2,0.081,34.0,68.0,0.9972,3.45,0.56,12.0,7.0
2657,7.7,0.49,0.12,1.7,0.073,15.0,64.0,0.9964,3.27,0.62,10.3,6.0
2658,7.8,0.6,0.0,2.0,0.07,7.0,20.0,0.9972,3.47,0.64,11.5,6.0
2659,8.3,0.35,0.36,1.8,0.063,26.0,61.0,0.9956,3.34,0.59,9.4,6.0
2660,7.7,0.51,0.06,1.6,0.077,21.0,54.0,0.9982,3.53,0.76,9.4,6.0
2661,7.4,0.59,0.04,2.0,0.076,16.0,45.0,0.995,3.38,0.53,11.1,5.0
2662,9.1,0.6,0.24,1.9,0.0969999999999999,6.0,19.0,0.9978,3.21,0.57,9.4,5.0
2663,8.6,0.42,0.46,3.5,0.072,5.0,10.0,0.9948,3.18,0.57,9.4,5.0
2664,8.3,0.32,0.24,2.2,0.067,20.0,109.0,0.9959,3.17,0.66,10.5,7.0
2665,7.1,0.685,0.1,1.4,0.07,5.0,26.0,0.9967,3.39,0.62,9.5,4.0
2666,7.1,0.29,0.4,2.3,0.076,16.0,54.0,0.9994,3.19,0.62,9.6,5.0
2667,7.7,0.61,0.22,2.1,0.083,9.0,24.0,0.995,3.21,0.58,9.5,5.0
2668,7.0,0.6,0.05,2.3,0.0969999999999999,18.0,34.0,0.9996,3.33,0.67,10.0,6.0
2669,12.5,0.725,0.49,1.9,0.087,7.0,14.0,0.9967,3.25,0.49,10.2,6.0
2670,7.7,0.54,0.24,1.6,0.068,10.0,28.0,0.9972,3.35,0.72,9.3,7.0
2671,7.3,0.7,0.02,1.7,0.064,12.0,20.0,0.9965,3.26,0.72,10.4,5.0
2672,8.9,0.28,0.3,2.4,0.068,23.0,42.0,0.99462,3.21,0.53,9.5,5.0
2673,6.8,0.52,0.01,2.1,0.0819999999999999,12.0,33.0,0.99258,3.43,0.67,9.7,8.0
2674,7.9,0.46,0.06,2.4,0.07,15.0,29.0,0.9972,3.41,0.58,9.6,6.0
2675,7.8,0.55,0.07,1.7,0.076,15.0,37.0,0.99702,3.52,0.57,9.5,5.0
2676,7.9,0.59,0.0,2.8,0.065,21.0,119.0,0.9964,3.59,0.67,9.6,6.0
2677,7.0,0.62,0.01,2.2,0.077,16.0,42.0,0.99498,3.37,0.63,9.5,5.0
2678,6.4,0.62,0.0,2.5,0.087,5.0,16.0,0.99652,3.59,0.58,11.2,6.0
2679,7.9,0.5,0.24,1.6,0.063,3.0,15.0,0.9969,3.36,0.57,9.7,6.0
2680,7.6,0.27,0.32,1.6,0.086,17.0,31.0,0.99562,3.39,0.84,9.7,5.0
2681,11.2,0.31,0.45,2.0,0.084,10.0,24.0,0.99498,3.16,0.86,10.6,6.0
2682,7.1,0.49,0.26,2.0,0.076,12.0,64.0,0.9988,3.21,0.58,9.5,6.0
2683,7.6,0.51,0.24,2.2,0.09,10.0,86.0,0.99668,3.33,0.6,9.6,5.0
2684,9.9,0.41,0.49,2.4,0.081,15.0,37.0,0.9982,3.31,0.62,11.3,7.0
2685,12.5,0.3,0.42,1.9,0.086,5.0,31.0,0.99656,3.45,0.53,9.2,5.0
2686,9.0,0.43,0.42,2.1,0.093,7.0,16.0,0.9982,3.38,0.61,9.5,5.0
2687,6.6,0.56,0.02,1.9,0.083,17.0,58.0,0.99578,3.38,0.55,10.2,6.0
2688,11.4,0.42,0.48,2.0,0.07,6.0,23.0,0.9962,3.32,0.77,12.0,7.0
2689,7.9,0.38,0.5,1.9,0.078,6.0,14.0,0.9976,3.41,1.17,9.9,5.0
2690,7.0,0.32,0.31,2.6,0.08,11.0,20.0,0.99613,3.39,0.62,9.4,5.0
2691,10.3,0.4,0.66,1.7,0.079,6.0,15.0,0.9974,3.18,0.58,11.3,6.0
2692,9.9,0.58,0.26,2.2,0.088,14.0,27.0,0.99656,3.32,0.54,9.8,5.0
2693,6.8,0.28,0.31,1.8,0.0819999999999999,40.5,66.0,0.99736,3.27,0.92,9.4,5.0
2694,7.7,0.54,0.04,2.0,0.069,8.0,20.0,0.99685,3.34,0.52,10.0,6.0
2695,10.2,0.34,0.51,2.2,0.08,10.0,20.0,1.0004,3.16,0.71,9.3,6.0
2696,8.3,0.48,0.45,2.0,0.0559999999999999,9.0,22.0,0.9959,3.28,0.57,10.0,6.0
2697,7.9,0.5,0.24,2.2,0.076,26.0,42.0,0.9963,3.31,0.66,10.5,6.0
2698,7.2,0.55,0.28,1.9,0.0969999999999999,6.0,15.0,0.99656,3.28,0.68,9.2,5.0
2699,7.0,0.38,0.32,2.1,0.084,16.0,84.0,0.9996,3.49,0.84,9.4,5.0
2700,6.3,0.48,0.24,2.0,0.07,5.0,15.0,0.99467,3.42,0.58,10.9,6.0
2701,8.8,0.44,0.25,1.7,0.073,10.0,42.0,0.9987,3.2,0.59,12.8,7.0
2702,10.4,0.28,0.43,1.8,0.083,25.0,60.0,0.9984,3.12,0.59,9.9,6.0
2703,8.1,0.43,0.28,5.6,0.076,38.0,53.0,0.9968,3.22,0.54,10.0,6.0
2704,9.1,0.46,0.24,2.1,0.074,8.0,28.0,0.9965,3.36,0.74,9.4,6.0
2705,7.1,0.34,0.52,2.0,0.091,11.0,26.0,0.99693,3.35,0.57,11.4,6.0
2706,8.7,0.55,0.16,1.8,0.132,4.0,10.0,0.9965,3.12,0.56,9.1,5.0
2707,9.0,0.27,0.34,2.2,0.081,19.0,49.0,0.9996,3.18,0.7,10.5,7.0
2708,8.5,0.47,0.28,1.9,0.074,12.0,27.0,0.9976,3.28,0.6,9.8,5.0
2709,7.6,0.69,0.08,2.2,0.079,18.0,91.0,0.9971,3.36,0.57,9.7,5.0
2710,8.7,0.645,0.1,1.8,0.08,6.0,22.0,0.9973,3.41,0.54,10.6,5.0
2711,8.6,0.28,0.53,2.8,0.071,19.0,27.0,0.9978,3.21,0.63,11.2,7.0
2712,8.0,0.38,0.24,2.2,0.076,6.0,19.0,0.9982,3.3,0.57,9.5,5.0
2713,6.2,0.52,0.01,8.9,0.08,20.0,49.0,0.99588,3.41,0.52,9.5,6.0
2714,10.5,0.715,0.55,2.1,0.09,15.0,52.0,0.9988,3.26,0.56,9.7,6.0
2715,8.8,0.36,0.49,1.8,0.0819999999999999,6.0,14.0,0.9976,3.35,0.54,9.6,5.0
2716,9.1,0.52,0.18,2.4,0.093,21.0,53.0,0.9988,3.39,0.66,9.2,6.0
2717,7.1,0.67,0.02,2.0,0.08,6.0,18.0,0.997,3.36,0.65,10.5,6.0
2718,7.7,0.38,0.3,2.3,0.066,5.0,16.0,0.9973,3.1,0.71,11.3,6.0
2719,7.9,0.615,0.0,2.7,0.063,32.0,54.0,0.9976,3.39,0.56,9.7,5.0
2720,11.9,0.42,0.51,2.1,0.078,10.0,37.0,0.9984,3.27,0.55,10.1,6.0
2721,12.0,0.31,0.56,1.7,0.076,31.0,48.0,0.99472,3.21,0.77,11.7,8.0
2722,7.4,0.57,0.02,1.7,0.086,32.0,64.0,0.99494,3.61,0.56,9.5,4.0
2723,6.9,0.63,0.0,1.9,0.0819999999999999,14.0,28.0,0.997,3.44,0.56,9.3,6.0
2724,9.3,0.4,0.4,2.3,0.066,34.0,59.0,0.9972,3.28,0.56,11.0,6.0
2725,7.7,0.55,0.32,2.7,0.084,9.0,31.0,0.9988,3.34,0.61,9.4,6.0
2726,7.2,0.35,0.27,1.7,0.063,6.0,19.0,0.9964,3.42,0.51,10.9,8.0
2727,6.6,0.725,0.0,2.5,0.05,6.0,10.0,0.99768,3.52,0.52,11.5,7.0
2728,15.3,0.33,0.46,1.8,0.078,17.0,26.0,0.9988,3.18,0.67,12.0,7.0
2729,11.9,0.28,0.66,2.1,0.076,6.0,23.0,0.9976,3.05,0.62,12.8,8.0
2730,12.0,0.36,0.57,2.0,0.091,4.0,12.0,0.9984,3.39,0.59,10.5,6.0
2731,7.9,0.48,0.21,2.0,0.073,14.0,28.0,0.9955,3.29,0.62,9.2,5.0
2732,7.9,0.59,0.14,1.8,0.078,12.0,47.0,0.99565,3.38,0.54,9.4,5.0
